scenario_id,time_id,generator_name,demand,total_wind_generation_capacity,total_generation_capacity,residual_demand,next_generation_capacity,next_demand,own_generation_capacity,next_own_generation_capacity,target_bid_W1_B1,target_bid_W1_B2
0,0,W1,99.74604691731373,104.44731369054969,204.44731369054972,-4.701266773235957,198.38845078664312,98.19331715487604,34.807403988692826,32.65800558789756,4.5,4.51
0,1,W1,98.19331715487604,98.38845078664309,198.38845078664312,-0.19513363176704956,204.43738093837052,98.74460169332963,32.65800558789756,34.41652851146048,4.5,4.51
0,2,W1,98.74460169332963,104.43738093837054,204.43738093837052,-5.69277924504091,202.26649946308595,102.76216493620535,34.41652851146048,33.82108557853897,4.5,4.51
0,3,W1,102.76216493620535,102.26649946308599,202.26649946308595,0.4956654731193595,204.68651351385,106.36629791546208,33.82108557853897,34.540556560739844,4.5,4.51
0,4,W1,106.36629791546208,104.68651351385003,204.68651351385,1.6797844016120536,206.08468928322787,111.72456093581621,34.540556560739844,35.38661706304289,4.5,4.51
0,5,W1,111.72456093581621,106.0846892832279,206.08468928322787,5.639871652588312,200.62547844817274,116.82659524705763,35.38661706304289,33.47684148916067,4.5,4.51
0,6,W1,116.82659524705763,100.62547844817274,200.62547844817274,16.201116798884883,201.84683163568147,119.95127013512342,33.47684148916067,34.13494965466526,4.5,4.51
0,7,W1,119.95127013512342,101.84683163568148,201.84683163568147,18.10443849944194,203.94697554943434,117.8951646982742,34.13494965466526,34.86012115279245,4.5,4.51
0,8,W1,117.8951646982742,103.94697554943438,203.94697554943434,13.948189148839816,201.60750202098518,115.00234268945233,34.86012115279245,34.08742826368529,4.5,4.51
0,9,W1,115.00234268945233,101.60750202098518,201.60750202098518,13.394840668467154,204.37274152268117,111.61026949725292,34.08742826368529,35.059535565906224,4.5,4.51
0,10,W1,111.61026949725292,104.37274152268117,204.37274152268117,7.237527974571748,221.00658905299412,111.22174399906126,35.059535565906224,40.42379583839644,4.5,4.51
0,11,W1,111.22174399906126,121.00658905299413,221.00658905299412,-9.78484505393287,199.1236804129281,116.97445611531823,40.42379583839644,33.32591280420091,4.5,4.51
0,12,W1,116.97445611531823,99.12368041292811,199.1236804129281,17.850775702390123,202.40599807651748,121.65874673276977,33.32591280420091,34.265153096839285,4.5,4.51
0,13,W1,121.65874673276977,102.40599807651748,202.40599807651748,19.252748656252294,208.41502866709726,124.88521543173378,34.265153096839285,36.26264101239759,4.5,4.51
0,14,W1,124.88521543173378,108.41502866709723,208.41502866709726,16.47018676463655,217.22300819726664,120.68136744576427,36.26264101239759,39.290185899435514,4.5,4.51
0,15,W1,120.68136744576427,117.22300819726664,217.22300819726664,3.4583592484976293,222.64146874859046,120.96484658438393,39.290185899435514,40.967504387508406,4.5,4.51
0,16,W1,120.96484658438393,122.64146874859041,222.64146874859046,-1.6766221642064778,225.24122950482206,115.80683609709413,40.967504387508406,41.95857416277812,4.5,4.51
